Municipality,2017,2018,2019,2020,2021
Tomé-Açu,639412000,667658000,710991000,816244000,1040635000
Tracuateua,248331000,215620000,231424000,295860000,285330000
Trairão,329448000,294076000,286214000,276725000,327523000
Tucumã,757450000,778560000,826904000,863475000,984423000
Tucuruí,6461838000,7481522000,5301010000,4571016000,5614501000
Ulianópolis,1245238000,1330085000,1589798000,1858110000,1995884000
Uruará,511969000,545493000,609425000,717963000,774530000
Vigia,373305000,382251000,387399000,419520000,476787000
Viseu,613446000,486515000,488299000,620025000,618568000
Vitória Do Xingu,3088937000,4375685000,4092449000,3833696000,4230778000
Xinguara,1218114000,1226364000,1292069000,1414398000,1605020000
Serra Do Navio,70831000,75189000,73697000,81422000,92155000
Amapá,166941000,137264000,156669000,153020000,159543000
Pedra Branca Do Amapari,281064000,311022000,334792000,466649000,453324000
Calçoene,146932000,164202000,165393000,182086000,184496000
Cutias,72796000,76196000,82949000,87586000,94625000
Ferreira Gomes,500103000,533403000,494108000,519153000,578381000
Itaubal,65752000,69176000,74890000,80690000,87891000
Laranjal Do Jari,850713000,902503000,973431000,1035921000,1134587000
Macapá,9996021000,10949101000,11422998000,11733668000,12938060000
Mazagão,244725000,258113000,290148000,363786000,377734000
Oiapoque,394531000,425562000,461142000,488906000,528919000
Porto Grande,332009000,340180000,338606000,381240000,373966000
Pracuúba,62942000,67289000,71221000,78456000,84589000
Santana,1910086000,2071271000,2128724000,2345887000,2512717000
Tartarugalzinho,202010000,225342000,231773000,246236000,261938000
Vitória Do Jari,184453000,189394000,196121000,224407000,236925000
Abreulândia,56479000,52413000,53962000,76414000,112135000
Aguiarnópolis,127038000,124948000,162923000,164457000,165480000
Aliança Do Tocantins,116126000,103526000,109409000,154385000,616571000
Almas,151376000,151823000,171927000,178542000,273741000
Alvorada,331677000,298510000,335148000,404850000,474111000
Ananás,124894000,130713000,148477000,139737000,159769000
Angico,35480000,35666000,39491000,41536000,48276000
Aparecida Do Rio Negro,91452000,102337000,127209000,208458000,255912000
Aragominas,63243000,63206000,67899000,78177000,98441000
Araguacema,133138000,126470000,143577000,258570000,240246000
Araguaçu,186488000,191651000,449522000,273397000,349050000
Araguaína,4140528000,4363395000,4718947000,4752385000,5239050000
Araguanã,64696000,65019000,69820000,77992000,101858000
Araguatins,390779000,425144000,446821000,462123000,529290000
Arapoema,99454000,288208000,180909000,356785000,324523000
Arraias,159682000,185540000,209124000,195448000,223310000
Augustinópolis,235998000,253207000,280585000,288579000,305118000
Aurora Do Tocantins,40972000,42076000,46935000,51244000,58806000
Axixá Do Tocantins,103842000,120410000,133267000,124760000,141092000
Babaçulândia,102829000,105060000,112508000,127638000,158741000
Bandeirantes Do Tocantins,68677000,120322000,103147000,130974000,178654000
Barra Do Ouro,46306000,56230000,57845000,73105000,113260000
Barrolândia,84020000,93834000,95742000,106923000,122016000
Bernardo Sayão,77636000,74696000,72861000,81871000,102684000
Bom Jesus Do Tocantins,63217000,74023000,134102000,126172000,139410000
Brasilândia Do Tocantins,38491000,41060000,41733000,54967000,75634000
Brejinho De Nazaré,154449000,193570000,170079000,222536000,272945000
Buriti Do Tocantins,94762000,97737000,108224000,116521000,161641000
Cachoeirinha,25904000,27219000,29234000,33542000,58547000
Campos Lindos,290585000,306171000,333975000,472482000,1004931000
Cariri Do Tocantins,345108000,348251000,364925000,394470000,517715000
Carmolândia,35771000,36922000,41448000,45097000,69222000
Carrasco Bonito,37415000,40010000,43338000,45464000,50561000
Caseara,132681000,157639000,168549000,447766000,389493000
Centenário,33009000,34345000,42468000,65315000,64557000
Chapada De Areia,26019000,23899000,24002000,33245000,39824000
Chapada Da Natividade,66294000,64165000,68829000,91724000,148973000
Colinas Do Tocantins,688212000,724137000,798814000,787269000,862139000
Combinado,66065000,67201000,73813000,72412000,76524000
Conceição Do Tocantins,49724000,51985000,58027000,61013000,67829000
Couto Magalhães,95824000,116343000,100973000,130715000,203473000
Cristalândia,106139000,109220000,124693000,183039000,177294000
Crixás Do Tocantins,41085000,43546000,48427000,62303000,78645000
Darcinópolis,135746000,185654000,228403000,219943000,241932000
Dianópolis,305971000,388672000,446287000,701653000,644829000
Divinópolis Do Tocantins,120258000,121986000,122647000,178811000,249235000
Dois Irmãos Do Tocantins,102384000,102542000,108151000,143261000,216149000
Dueré,120169000,115335000,127103000,164145000,204765000
Esperantina,85647000,89004000,98604000,106660000,118724000
Fátima,59339000,67162000,78401000,79412000,89100000
Figueirópolis,157256000,170208000,183636000,220167000,256752000
Filadélfia,98161000,101689000,111423000,116825000,129323000
Formoso Do Araguaia,396153000,348253000,366455000,443862000,1414038000
Fortaleza Do Tabocão,151011000,186819000,200115000,221618000,232898000
Goianorte,79242000,74752000,81045000,108775000,193502000
Goiatins,150014000,160693000,157756000,176071000,230924000
Guaraí,603161000,649211000,697324000,730955000,880403000
Gurupi,2236415000,2196701000,2327205000,2543765000,2648420000
Ipueiras,36670000,30786000,33218000,37116000,47772000
Itacajá,98358000,99047000,106507000,119953000,186260000
Itaguatins,59446000,64384000,68623000,72823000,82611000
Itapiratins,70087000,71024000,74392000,115104000,171522000
Itaporã Do Tocantins,43250000,43133000,46525000,56227000,69980000
Jaú Do Tocantins,58414000,59576000,64007000,78747000,97865000
Juarina,35635000,30537000,30605000,35909000,44395000
Lagoa Da Confusão,527537000,484425000,527487000,1040153000,998445000
Lagoa Do Tocantins,38617000,39775000,45693000,79302000,89429000
Lajeado,64209000,67550000,68531000,66898000,64405000
Lavandeira,23879000,23728000,25764000,30115000,37870000
Lizarda,34202000,42478000,38793000,51927000,66332000
Luzinópolis,34212000,33690000,45672000,121354000,71180000
Marianópolis Do Tocantins,120349000,126046000,146974000,210074000,252331000
Mateiros,126267000,135697000,185919000,227485000,252360000
Maurilândia Do Tocantins,33224000,36449000,41940000,47576000,55911000
Miracema Do Tocantins,526569000,525389000,616822000,591151000,642003000
Miranorte,227744000,262097000,287048000,305926000,390325000
Monte Do Carmo,159484000,175204000,158477000,230635000,296288000
Monte Santo Do Tocantins,36573000,35924000,38168000,52964000,75004000
Palmeiras Do Tocantins,64569000,68797000,73873000,80731000,95357000
Muricilândia,43100000,43009000,47556000,57096000,69465000
Natividade,116917000,174044000,156646000,188910000,247340000
Nazaré,45013000,44079000,48645000,54481000,58139000
Nova Olinda,282734000,264063000,312195000,293703000,320311000
Nova Rosalândia,49384000,55200000,56586000,87460000,100915000
Novo Acordo,46483000,52047000,61684000,69772000,84723000
Novo Alegre,27054000,27366000,29354000,31030000,35521000
Novo Jardim,28933000,29371000,30854000,36672000,42672000
Oliveira De Fátima,19655000,19230000,20801000,23890000,29469000
Palmeirante,81984000,95877000,88644000,133093000,185349000
Palmeirópolis,114168000,118347000,124955000,139645000,170118000
Paraíso Do Tocantins,1237455000,1221785000,1392220000,1445961000,1513693000
Paranã,214242000,215390000,243193000,335255000,315397000
Pau D'Arco,75161000,68989000,70372000,81006000,91169000
Pedro Afonso,672379000,532347000,464444000,631761000,848671000
Peixe,540632000,527357000,754188000,679977000,733929000
Pequizeiro,75486000,75367000,78649000,91550000,107606000
Colméia,145267000,143770000,151939000,166815000,182796000
Pindorama Do Tocantins,48958000,52805000,58412000,62447000,85006000
Piraquê,45451000,51544000,57087000,69013000,89940000
Pium,140566000,157306000,196685000,312627000,361915000
Ponte Alta Do Bom Jesus,45255000,47242000,53293000,58557000,66158000
Ponte Alta Do Tocantins,79547000,83936000,91647000,100198000,121170000
Porto Alegre Do Tocantins,29027000,31095000,34867000,39549000,47043000
Porto Nacional,1851639000,1677032000,1869765000,2611222000,3649421000
Praia Norte,68762000,72318000,80923000,83479000,93139000
Presidente Kennedy,51416000,49036000,52487000,57531000,65165000
Pugmil,50651000,56569000,63502000,81717000,82663000
Recursolândia,41157000,43088000,47723000,52503000,91480000
Riachinho,45192000,47088000,51901000,55912000,68536000
Rio Da Conceição,19034000,21080000,23178000,25567000,29142000
Rio Dos Bois,44369000,50590000,54777000,63079000,85928000
Rio Sono,61639000,65490000,78833000,87609000,111443000
Sampaio,37328000,39168000,44546000,84869000,145863000
Sandolândia,69821000,70318000,79229000,95556000,116736000
Santa Fé Do Araguaia,114858000,113608000,124634000,147514000,175927000
Santa Maria Do Tocantins,40216000,52509000,58063000,113437000,139630000
Santa Rita Do Tocantins,85461000,90895000,120898000,134369000,180273000
Santa Rosa Do Tocantins,146869000,149228000,144887000,236631000,307685000
Santa Tereza Do Tocantins,32280000,32086000,36100000,37859000,48098000
Santa Terezinha Do Tocantins,30733000,28803000,32733000,37116000,41931000
São Bento Do Tocantins,49687000,53133000,57703000,64306000,73590000
São Félix Do Tocantins,18482000,20810000,23269000,27244000,36541000
São Miguel Do Tocantins,102465000,105834000,221633000,167504000,255814000
São Salvador Do Tocantins,33926000,36683000,36449000,42146000,49467000
São Sebastião Do Tocantins,44264000,46328000,50359000,55143000,61804000
São Valério,137087000,91623000,94803000,134376000,156734000
Silvanópolis,148305000,155351000,173876000,199990000,240329000
Sítio Novo Do Tocantins,89596000,102291000,105549000,113118000,132862000
Sucupira,58862000,64195000,63642000,110324000,532374000
Taguatinga,230434000,242038000,236755000,248520000,318253000
Taipas Do Tocantins,21997000,22975000,27882000,30853000,35246000
Talismã,83396000,82298000,89557000,123746000,146708000
Palmas,8503493000,9430360000,10455116000,9942512000,10333419000
Tocantínia,67831000,71807000,129131000,134695000,191373000
Tocantinópolis,300131000,294325000,325690000,343514000,372642000
Tupirama,46142000,49166000,55980000,111732000,118839000
Tupiratins,28582000,29772000,29993000,33577000,38619000
Wanderlândia,161897000,140641000,134885000,149271000,183424000
Xambioá,341493000,289815000,281272000,358297000,471020000
Açailândia,2202738000,2598977000,2354544000,2664608000,3828780000
Afonso Cunha,44851000,51330000,52155000,71866000,85068000
Água Doce Do Maranhão,73174000,85969000,84659000,89545000,101672000
Alcântara,116313000,129607000,125437000,132194000,148797000
Aldeias Altas,174110000,181015000,199063000,211250000,249450000
Altamira Do Maranhão,56338000,56419000,58607000,61573000,71526000
Alto Alegre Do Maranhão,219945000,268639000,262247000,243765000,303156000
Alto Alegre Do Pindaré,181816000,190348000,205207000,230379000,251786000
Alto Parnaíba,287616000,349328000,338856000,492109000,578991000
Amapá Do Maranhão,49035000,51419000,51820000,54956000,70213000
Amarante Do Maranhão,273621000,313670000,305979000,335205000,388693000
Anajatuba,176950000,177517000,175340000,183161000,207643000
Anapurus,135894000,131342000,120492000,141272000,149133000
Apicum-Açu,104064000,108770000,117366000,122607000,133979000
Araguanã,77795000,81055000,79382000,90756000,101754000
Araioses,269138000,269399000,269517000,275900000,282823000
Arame,211969000,233246000,236073000,252021000,290362000
Arari,229583000,253435000,252088000,272188000,313303000
Axixá,68771000,73856000,78489000,84159000,97443000
Bacabal,1133533000,1210810000,1254485000,1355117000,1514711000
Bacabeira,339375000,306817000,253682000,352158000,599322000
Bacuri,96548000,98271000,107986000,111632000,122906000
Bacurituba,35101000,35065000,35553000,38205000,39600000
Balsas,3045948000,3493484000,3493570000,4772084000,6307610000
Barão De Grajaú,210046000,205982000,203590000,224177000,268565000
Barra Do Corda,649249000,722264000,710346000,743643000,889327000
Barreirinhas,457836000,484767000,481304000,502405000,635796000
Belágua,47588000,46356000,46993000,58026000,60734000
