Municipality,2017,2018,2019,2020,2021
Cruzeiro Do Iguaçu,113424000,114154000,114728000,154808000,177188000
Cruzeiro Do Oeste,778291000,829813000,839529000,831868000,859412000
Cruzeiro Do Sul,198725000,185321000,173843000,197229000,205363000
Cruz Machado,344124000,368290000,374376000,441368000,505101000
Cruzmaltina,103879000,113191000,112777000,160485000,151175000
Curitiba,84726398000,87151907000,96113599000,88163327000,98003704000
Curiúva,226032000,232321000,222829000,232154000,276053000
Diamante Do Norte,306233000,349703000,316890000,398679000,298223000
Diamante Do Sul,53975000,53982000,55938000,70626000,74746000
Diamante D'Oeste,96882000,99991000,103450000,112920000,128046000
Dois Vizinhos,1510218000,1587172000,1676953000,1798727000,2026540000
Douradina,525287000,592071000,635549000,677827000,841251000
Doutor Camargo,148999000,154698000,165475000,218743000,200380000
Enéas Marques,234419000,220808000,216294000,244685000,311338000
Engenheiro Beltrão,419622000,563794000,465637000,554004000,566636000
Esperança Nova,41419000,49445000,53037000,61774000,65246000
Entre Rios Do Oeste,226495000,228066000,239680000,292780000,313169000
Espigão Alto Do Iguaçu,110565000,114791000,119763000,159991000,162826000
Farol,138858000,157736000,131333000,217110000,215745000
Faxinal,414098000,425379000,450886000,471861000,500157000
Fazenda Rio Grande,2382277000,2518919000,2503498000,2775061000,3312466000
Fênix,134772000,149432000,144588000,212062000,212876000
Fernandes Pinheiro,174123000,177611000,186597000,224680000,253856000
Figueira,151807000,149611000,134772000,138616000,161509000
Floraí,152945000,176373000,182875000,234199000,239271000
Flor Da Serra Do Sul,118348000,124645000,120388000,152318000,182658000
Floresta,200914000,207190000,191567000,261372000,271143000
Florestópolis,269200000,248800000,254250000,469057000,400311000
Flórida,59428000,60533000,58756000,75431000,80584000
Formosa Do Oeste,276374000,267756000,279538000,313719000,370785000
Foz Do Iguaçu,13468176000,14675747000,15769782000,17864927000,18969765000
Francisco Alves,179859000,195962000,167072000,241461000,290560000
Francisco Beltrão,3070112000,3189323000,3292226000,3194302000,3694721000
Foz Do Jordão,102751000,122665000,123663000,171317000,184060000
General Carneiro,344769000,287250000,303957000,358242000,445500000
Godoy Moreira,51122000,51957000,51727000,64765000,72437000
Goioerê,815651000,902916000,885730000,1020035000,1074430000
Goioxim,164404000,181186000,176874000,282575000,309159000
Grandes Rios,123118000,121156000,117374000,137762000,172742000
Guaíra,877011000,936620000,965290000,1127712000,1140009000
Guairaçá,296262000,227186000,244917000,247216000,272089000
Guamiranga,260973000,240888000,234324000,268361000,295082000
Guapirama,101104000,102614000,103978000,138718000,176967000
Guaporema,57117000,56056000,65872000,72239000,78150000
Guaraci,111438000,106304000,127002000,148143000,223881000
Guaraniaçu,340742000,353717000,369105000,471163000,512045000
Guarapuava,5608156000,6115717000,6106298000,7519722000,8309342000
Guaraqueçaba,106917000,111742000,105611000,113538000,118169000
Guaratuba,762731000,797374000,874518000,881072000,982249000
Honório Serpa,189557000,214381000,196349000,237314000,298563000
Ibaiti,649368000,678611000,696791000,772178000,878479000
Ibema,134499000,165628000,147430000,168510000,182357000
Ibiporã,2438394000,2441378000,2767291000,2659228000,3313526000
Icaraíma,223972000,232807000,222623000,258239000,247415000
Iguaraçu,140661000,148272000,162750000,182707000,212524000
Iguatu,56346000,61965000,62818000,91551000,84007000
Imbaú,214631000,224807000,217124000,228043000,276180000
Imbituva,823304000,895454000,868252000,1047018000,1290841000
Inácio Martins,176278000,191267000,172869000,235234000,265731000
Inajá,57125000,50177000,58154000,51769000,58322000
Indianópolis,535410000,514800000,529850000,467045000,507458000
Ipiranga,468384000,503915000,467595000,569218000,615220000
Iporã,454511000,366755000,352409000,442964000,597094000
Iracema Do Oeste,75409000,82535000,77078000,90311000,194377000
Irati,1787464000,1827639000,1902781000,2049178000,2286299000
Iretama,238642000,257199000,274528000,303534000,354191000
Itaguajé,102121000,97906000,95211000,113350000,121793000
Itaipulândia,347858000,359661000,374838000,453580000,524842000
Itambaracá,136579000,161119000,157884000,203942000,223636000
Itambé,180219000,189666000,174411000,244809000,228349000
Itapejara D'Oeste,531626000,615413000,535653000,699884000,753038000
Itaperuçu,428833000,507855000,515862000,577822000,626972000
Itaúna Do Sul,76725000,75773000,77257000,84525000,87760000
Ivaí,375827000,375808000,370477000,468753000,497726000
Ivaiporã,755412000,820510000,832002000,864421000,947878000
Ivaté,187391000,195702000,201593000,202592000,203948000
Ivatuba,102601000,111787000,113110000,140309000,143604000
Jaboti,92383000,108176000,109094000,124235000,160064000
Jacarezinho,1179177000,1358246000,1276678000,1430894000,1598109000
Jaguapitã,774806000,781434000,808537000,927488000,1049416000
Jaguariaíva,1423261000,1480457000,1489134000,1415524000,1788929000
Jandaia Do Sul,657383000,677896000,769199000,767194000,790200000
Janiópolis,147095000,159098000,155432000,250313000,241952000
Japira,101096000,101171000,105232000,117131000,163432000
Japurá,232020000,251373000,235546000,312785000,321196000
Jardim Alegre,251007000,252472000,270848000,323519000,374123000
Jardim Olinda,42287000,42139000,39877000,46102000,57052000
Jataizinho,186451000,191106000,225889000,247015000,282709000
Jesuítas,332176000,344674000,318895000,391705000,441993000
Joaquim Távora,608259000,587432000,580146000,653655000,679170000
Jundiaí Do Sul,90421000,74507000,80485000,114510000,128071000
Juranda,306190000,339023000,313460000,400971000,440947000
Jussara,214042000,224502000,224307000,371246000,405156000
Kaloré,108470000,113239000,112831000,145838000,165663000
Lapa,1879313000,1642849000,1803988000,2026334000,2841274000
Laranjal,84016000,82465000,84472000,100926000,113028000
Laranjeiras Do Sul,730298000,773744000,789610000,889677000,1027784000
Leópolis,123818000,150448000,138050000,187827000,227387000
Lidianópolis,81168000,84369000,84086000,112475000,125693000
Lindoeste,146182000,163511000,167097000,186917000,200888000
Loanda,534841000,574298000,593795000,657571000,697990000
Lobato,183164000,184622000,184281000,226232000,215579000
Londrina,19240582000,19953188000,21591521000,21700396000,23604749000
Luiziana,260252000,328001000,314183000,499718000,546880000
Lunardelli,86321000,88693000,90149000,117449000,142223000
Lupionópolis,104032000,102407000,98164000,126296000,131512000
Mallet,657674000,710315000,690595000,694686000,758426000
Mamborê,495060000,544171000,561743000,787292000,793216000
Mandaguaçu,547492000,557908000,622340000,617340000,687776000
Mandaguari,1540899000,1565381000,1494797000,1688457000,1835782000
Mandirituba,587530000,613105000,609836000,608027000,665070000
Manfrinópolis,55233000,52597000,55587000,72589000,81482000
Mangueirinha,1315798000,1346000000,1460377000,1561986000,1773320000
Manoel Ribas,314768000,379306000,371064000,460305000,531516000
Marechal Cândido Rondon,2199548000,2343102000,2346316000,2832606000,2923901000
Maria Helena,100274000,108629000,100070000,129368000,134456000
Marialva,1447182000,1481656000,1495593000,2038419000,2654520000
Marilândia Do Sul,296149000,333160000,322327000,391673000,466452000
Marilena,126293000,136692000,150864000,171133000,174505000
Mariluz,209362000,230264000,209723000,269889000,284378000
Maringá,16911587000,18532464000,19311240000,19992894000,22656733000
Mariópolis,229880000,281099000,291005000,371992000,439929000
Maripá,330946000,352145000,341694000,446673000,478133000
Marmeleiro,428763000,452934000,424786000,541512000,635140000
Marquinho,76909000,85622000,82875000,107583000,111465000
Marumbi,75104000,75919000,80860000,88264000,103464000
Matelândia,862011000,915025000,844703000,991146000,1096411000
Matinhos,746112000,762297000,793659000,820359000,892346000
Mato Rico,74191000,80885000,71765000,97903000,123201000
Mauá Da Serra,279142000,295064000,308914000,356689000,373721000
Medianeira,1823246000,1929418000,1953469000,2068487000,2442131000
Mercedes,204880000,216377000,196924000,246928000,278237000
Mirador,81779000,102339000,101290000,130073000,126646000
Miraselva,44813000,38671000,40658000,42680000,52334000
Missal,319135000,347180000,364905000,387446000,466464000
Moreira Sales,291515000,310221000,299058000,293512000,306173000
Morretes,313365000,334219000,351341000,368441000,389250000
Munhoz De Mello,95857000,95578000,97320000,128233000,136941000
Nossa Senhora Das Graças,73092000,70640000,74398000,92785000,99528000
Nova Aliança Do Ivaí,45913000,42150000,41178000,45759000,51936000
Nova América Da Colina,84460000,74068000,75792000,95593000,97609000
Nova Aurora,549259000,625757000,554968000,745178000,819786000
Nova Cantu,185195000,200411000,198557000,309184000,348106000
Nova Esperança,765045000,727650000,733771000,860270000,943235000
Nova Esperança Do Sudoeste,109133000,107791000,112896000,139551000,164808000
Nova Fátima,298689000,247542000,215927000,281471000,314948000
Nova Laranjeiras,195951000,203509000,220812000,252969000,308307000
Nova Londrina,335402000,317747000,344913000,398304000,442964000
Nova Olímpia,79971000,82511000,91756000,98644000,109220000
Nova Santa Bárbara,77832000,82995000,81244000,91795000,110755000
Nova Santa Rosa,319493000,327138000,337611000,428171000,439769000
Nova Prata Do Iguaçu,320145000,327912000,319572000,392386000,492530000
Nova Tebas,122961000,132123000,131120000,162704000,189809000
Novo Itacolomi,67257000,66343000,68189000,83118000,91418000
Ortigueira,1791230000,2177021000,2900781000,2718482000,2726495000
Ourizona,99135000,106406000,99045000,149989000,166707000
Ouro Verde Do Oeste,174807000,176717000,179796000,263741000,318639000
Paiçandu,881947000,836279000,827499000,989272000,1057772000
Palmas,1103850000,1184147000,1165107000,1372516000,1616606000
Palmeira,1422627000,1430977000,1344846000,1535330000,1642097000
Palmital,244571000,254150000,252884000,293521000,330862000
Palotina,2036997000,2198288000,2141859000,2675646000,2815892000
Paraíso Do Norte,317810000,329563000,322626000,377960000,377265000
Paranacity,364747000,320484000,332767000,307631000,325544000
Paranaguá,9860432000,9774705000,9736158000,12092727000,13647352000
Paranapoema,65963000,66495000,61199000,77622000,92029000
Paranavaí,2649460000,2647822000,2687496000,2748738000,3179966000
Pato Bragado,159355000,165122000,170622000,218834000,243510000
Pato Branco,3600138000,3836023000,4004985000,4168114000,4548297000
Paula Freitas,268173000,284424000,280062000,356163000,439977000
Paulo Frontin,291294000,307431000,320487000,384262000,396743000
Peabiru,320625000,327293000,315423000,424472000,454257000
Perobal,155160000,182648000,183020000,248778000,281901000
Pérola,472828000,338765000,458752000,399147000,359711000
Pérola D'Oeste,155408000,166414000,156033000,215522000,237966000
Piên,739064000,794597000,839261000,722269000,916954000
Pinhais,5595721000,5856025000,6461064000,6369866000,7963215000
Pinhalão,171446000,157343000,153691000,188079000,251490000
Pinhal De São Bento,49863000,51637000,54929000,68040000,80255000
Pinhão,1466969000,1567477000,1573048000,1563743000,1794837000
Piraí Do Sul,805596000,798543000,811562000,1079186000,1191737000
Piraquara,1222443000,1297135000,1397737000,1397402000,1544009000
Pitanga,815559000,893397000,865767000,1094113000,1140848000
Pitangueiras,87606000,96934000,90764000,130891000,121855000
Planaltina Do Paraná,105710000,98095000,103095000,100094000,103927000
Planalto,310555000,326188000,320557000,377778000,425350000
Ponta Grossa,14539146000,15053861000,15604359000,17276019000,19490853000
Pontal Do Paraná,577964000,2425080000,893585000,593806000,653407000
Porecatu,507771000,557881000,604725000,654726000,554224000
Porto Amazonas,120367000,120369000,113716000,155265000,163145000
Porto Barreiro,87060000,98735000,108337000,145792000,170025000
Porto Rico,68306000,69893000,75401000,87181000,108627000
Porto Vitória,63036000,64151000,68405000,82505000,98750000
Prado Ferreira,115934000,131021000,118932000,180178000,170941000
Pranchita,220707000,192440000,204593000,274864000,329462000
Presidente Castelo Branco,132774000,137423000,151374000,142996000,147413000
Primeiro De Maio,272104000,299972000,295235000,370706000,371288000
Prudentópolis,1163009000,1196749000,1266181000,1435640000,1571806000
Quarto Centenário,211614000,229922000,218539000,341565000,363020000
Quatiguá,170894000,177966000,194442000,197715000,212134000
Quatro Barras,1444715000,1549508000,1579579000,1594928000,1941191000
Quatro Pontes,173932000,177137000,171776000,245452000,253583000
Quedas Do Iguaçu,1299819000,1194768000,1295918000,1292090000,1466577000
Querência Do Norte,218265000,237231000,219968000,256264000,263173000
Quinta Do Sol,160180000,173410000,163293000,243803000,257483000
Quitandinha,353313000,392144000,406977000,451208000,509173000
Ramilândia,81590000,82282000,82045000,94007000,113787000
Rancho Alegre,100527000,120369000,120495000,162941000,185664000
Rancho Alegre D'Oeste,130348000,140988000,133078000,223173000,234820000
Realeza,577792000,603083000,617105000,686180000,743115000
Rebouças,358974000,379545000,383302000,451500000,536464000
Renascença,265184000,255580000,258150000,341098000,422539000
Reserva,555363000,617069000,603046000,680755000,757420000
Reserva Do Iguaçu,145534000,157759000,166859000,238283000,260049000
Ribeirão Claro,464146000,469035000,418433000,459884000,383725000
Ribeirão Do Pinhal,236885000,233396000,235366000,320743000,338068000
Rio Azul,589596000,607864000,627997000,664698000,729595000
Rio Bom,68738000,69878000,68104000,92696000,104373000
Rio Bonito Do Iguaçu,274035000,288712000,308766000,407976000,441543000
Rio Branco Do Ivaí,74912000,80035000,79550000,112818000,115567000
Rio Branco Do Sul,1063591000,1117426000,1229360000,1014371000,1375683000
Rio Negro,1116271000,1229487000,1241813000,1199886000,1298417000
Rolândia,2599715000,2657154000,2785272000,3083699000,3575090000
Roncador,372707000,431647000,386646000,538821000,598117000
Rondon,249902000,264832000,327766000,334034000,350084000
Rosário Do Ivaí,81964000,86140000,90950000,114384000,129882000
Sabáudia,456216000,568983000,512715000,585161000,705340000
Salgado Filho,99088000,90465000,94412000,115031000,124352000
Salto Do Itararé,94168000,88825000,76856000,101684000,103668000
Salto Do Lontra,372317000,371667000,374098000,469063000,529918000
Santa Amélia,77868000,75184000,75996000,96198000,100867000
Santa Cecília Do Pavão,103993000,112308000,112937000,176174000,153522000
Santa Cruz De Monte Castelo,252847000,262666000,274850000,360246000,375115000
Santa Fé,258421000,270425000,274757000,302992000,319694000
Santa Helena,856194000,934322000,978186000,1208896000,1465283000
Santa Inês,49230000,41066000,43850000,51934000,51495000
Santa Isabel Do Ivaí,189852000,197040000,189138000,245752000,253141000
Santa Izabel Do Oeste,313045000,321714000,339174000,380922000,467018000
Santa Lúcia,99434000,107917000,116115000,145977000,140120000
Santa Maria Do Oeste,184770000,177146000,162845000,205826000,267331000
Santa Mariana,341310000,338492000,365014000,439561000,493092000
Santa Mônica,81831000,89233000,84477000,95717000,91022000
Santana Do Itararé,97971000,96281000,98763000,138568000,171616000
Santa Tereza Do Oeste,356069000,373145000,381210000,527201000,582124000
Santa Terezinha De Itaipu,485276000,523337000,583042000,592244000,687387000
Santo Antônio Da Platina,1141678000,1210154000,1244565000,1341752000,1505671000
Santo Antônio Do Caiuá,52437000,48930000,51012000,52491000,54067000
Santo Antônio Do Paraíso,72704000,87550000,69344000,91302000,105831000
Santo Antônio Do Sudoeste,507155000,506395000,501827000,578239000,648327000
Santo Inácio,318695000,291983000,338375000,505014000,532130000
São Carlos Do Ivaí,297524000,307761000,317464000,378782000,396044000
São Jerônimo Da Serra,217185000,228387000,212572000,285311000,322913000
São João,678286000,739352000,701283000,782793000,890646000
São João Do Caiuá,141514000,125606000,133128000,135616000,154606000
São João Do Ivaí,274131000,281560000,262084000,331260000,361220000
São João Do Triunfo,568477000,545178000,511481000,604519000,579585000
São Jorge D'Oeste,246722000,282533000,286903000,353863000,473364000
São Jorge Do Ivaí,261650000,277814000,260324000,356970000,401331000
São Jorge Do Patrocínio,116945000,115679000,124692000,191206000,145387000
São José Da Boa Vista,140824000,144962000,146220000,188283000,229801000
São José Das Palmeiras,73387000,75356000,76497000,90733000,99036000
São José Dos Pinhais,22592708000,24107191000,29958698000,22092824000,27009658000
São Manoel Do Paraná,49606000,50418000,54668000,61054000,62351000
São Mateus Do Sul,1235013000,1255944000,1283216000,1305883000,1516927000
São Miguel Do Iguaçu,942512000,1003374000,1094370000,1206136000,1470178000
São Pedro Do Iguaçu,197420000,166901000,184003000,253140000,247170000
São Pedro Do Ivaí,265875000,295572000,306085000,344643000,370140000
São Pedro Do Paraná,65918000,65735000,66214000,86302000,90334000
São Sebastião Da Amoreira,191382000,195825000,220723000,243782000,300170000
São Tomé,144499000,138199000,167711000,157519000,163480000
Sapopema,102665000,107698000,107657000,135527000,153897000
Sarandi,1457170000,1587701000,1728385000,1811994000,2072897000
Saudade Do Iguaçu,899628000,793007000,888575000,696575000,786348000
Sengés,475282000,457799000,447102000,550995000,664822000
Serranópolis Do Iguaçu,165621000,194473000,210753000,244829000,291349000
Sertaneja,253279000,285827000,286242000,345411000,416473000
Sertanópolis,709270000,687037000,700387000,888536000,690824000
Siqueira Campos,531814000,541480000,555857000,591755000,706595000
Sulina,94204000,93134000,99559000,141940000,158533000
Tamarana,278370000,303881000,299476000,1150218000,391610000
Tamboara,113386000,125120000,120438000,127881000,126328000
Tapejara,484731000,452091000,524473000,519637000,496687000
Tapira,126505000,129043000,130889000,133261000,153437000
Teixeira Soares,345578000,379713000,376618000,529130000,616427000
Telêmaco Borba,3845447000,3431675000,3577129000,4220680000,4913583000
Terra Boa,447994000,485868000,466905000,528130000,569457000
Terra Rica,374620000,348955000,369958000,359495000,376189000
Terra Roxa,613810000,677805000,623909000,913036000,893579000
Tibagi,874873000,896629000,841793000,1182986000,1440119000
Tijucas Do Sul,304750000,324887000,328262000,420352000,576417000
Toledo,5931242000,6159290000,6192390000,6784000000,7482485000
Tomazina,178053000,199958000,201734000,261929000,324174000
Três Barras Do Paraná,323135000,318617000,325756000,434777000,435987000
Tunas Do Paraná,114285000,110171000,119230000,122500000,144145000
Tuneiras Do Oeste,206757000,201175000,187550000,255077000,233741000
Tupãssi,324715000,342776000,327042000,413274000,431452000
Turvo,426643000,442356000,431309000,543556000,601652000
Ubiratã,865125000,946866000,933544000,1601884000,1714000000
Umuarama,3285160000,3390564000,3719377000,3674618000,4103804000
União Da Vitória,1530879000,1580699000,1604233000,1616235000,1959262000
Uniflor,66514000,64755000,65086000,104985000,99889000
Uraí,260519000,283937000,272404000,332187000,367868000
Wenceslau Braz,514616000,557133000,540947000,622784000,711254000
Ventania,222931000,228979000,243324000,320713000,347628000
Vera Cruz Do Oeste,227786000,257001000,237957000,334353000,341127000
Verê,264062000,293062000,284271000,417545000,499747000
Alto Paraíso,85808000,96375000,91050000,104268000,113679000
Doutor Ulysses,68175000,62325000,69083000,89390000,99222000
Virmond,114947000,127395000,138203000,174759000,189741000
Vitorino,307583000,360443000,349886000,444027000,498350000
Xambrê,86691000,95279000,95272000,128281000,119646000
Abdon Batista,63045000,63186000,67415000,62064000,75124000
Abelardo Luz,606397000,698749000,661696000,785719000,785840000
Agrolândia,243184000,248710000,275681000,301509000,396094000
Agronômica,155575000,158302000,161868000,186897000,232870000
Água Doce,297991000,310758000,356271000,545641000,651064000
Águas De Chapecó,97142000,103626000,111370000,118517000,137688000
Águas Frias,93307000,98949000,109866000,126595000,163064000
Águas Mornas,137240000,164587000,174766000,179592000,199557000
Alfredo Wagner,229721000,259596000,270062000,318272000,336432000
Alto Bela Vista,51586000,55915000,60655000,72476000,78990000
Anchieta,129242000,134526000,143489000,175462000,203784000
Angelina,97759000,112091000,133477000,149508000,174544000
Anita Garibaldi,137558000,155793000,171000000,180845000,231485000
Anitápolis,53476000,57086000,62292000,67108000,84556000
Antônio Carlos,577415000,656475000,789111000,788089000,796471000
Apiúna,414989000,416068000,401001000,371305000,442404000
Arabutã,126170000,156882000,174031000,228359000,284398000
Araquari,3928868000,4154129000,4856885000,5507493000,7487636000
Araranguá,1724987000,1833796000,1941116000,2066667000,2384838000
Armazém,168495000,190756000,210847000,230323000,272041000
Arroio Trinta,92188000,89332000,97459000,110962000,125939000
Arvoredo,87210000,100351000,115566000,135543000,203863000
Ascurra,192659000,197071000,210420000,207577000,244941000
Atalanta,99538000,99246000,100719000,101182000,125964000
Aurora,166813000,210460000,176919000,268031000,406893000
Balneário Arroio Do Silva,158894000,171677000,179664000,195653000,221814000
Balneário Camboriú,5149750000,5551557000,6039781000,6210863000,7357101000
Balneário Barra Do Sul,188053000,185970000,202216000,216001000,254540000
Balneário Gaivota,140778000,152262000,166809000,182708000,216920000
Bandeirante,62542000,61181000,79432000,106895000,102204000
Barra Bonita,39994000,35317000,36851000,42592000,52278000
Barra Velha,1666892000,1398993000,1831043000,1837170000,2372107000
Bela Vista Do Toldo,139124000,150008000,153403000,175806000,196838000
Belmonte,53319000,51774000,53273000,61723000,57645000
Benedito Novo,293991000,302416000,330157000,370030000,470066000
Biguaçu,1609731000,1866213000,2215977000,2415813000,2669788000
Blumenau,16013864000,16961256000,17303599000,17782041000,20576440000
Bocaina Do Sul,68270000,77870000,86126000,96202000,135891000
Bombinhas,598335000,655808000,721628000,783522000,877306000
Bom Jardim Da Serra,119837000,99808000,132721000,242082000,371641000
Bom Jesus,92071000,100973000,119116000,131101000,160196000
Bom Jesus Do Oeste,52471000,52879000,53805000,64587000,73695000
Bom Retiro,254185000,272655000,313756000,346803000,422319000
Botuverá,282610000,321129000,325217000,348785000,430570000
Braço Do Norte,1134602000,1175283000,1338142000,1443112000,1744713000
Braço Do Trombudo,137911000,155522000,155526000,181527000,250118000
Brunópolis,76675000,81372000,90127000,95779000,137952000
Brusque,5885107000,6375146000,6933741000,6998846000,8723259000
Caçador,3074094000,3298267000,3530604000,3951560000,4702908000
Caibi,197559000,238718000,250737000,285114000,316744000
Calmon,63554000,70128000,78607000,85947000,97685000
Camboriú,1350979000,1502264000,1682847000,1826694000,2242100000
Capão Alto,101045000,118413000,136745000,158898000,235012000
Campo Alegre,456444000,490706000,559620000,563080000,699636000
Campo Belo Do Sul,219725000,228173000,228827000,235160000,333003000
Campo Erê,265131000,294166000,278626000,330954000,437780000
Campos Novos,1965649000,1950894000,2193961000,2435743000,2610111000
Canelinha,177573000,189954000,205870000,215137000,295596000
Canoinhas,1591335000,1703205000,1757061000,1859428000,2202873000
Capinzal,838098000,834324000,948760000,961959000,1070601000
Capivari De Baixo,429811000,784191000,916327000,1271609000,1348473000
Catanduvas,392499000,406888000,436133000,455347000,530828000
Caxambu Do Sul,122745000,119354000,141193000,193778000,164133000
Celso Ramos,54227000,55175000,59338000,57096000,65897000
Cerro Negro,72290000,81005000,80108000,78455000,141410000
Chapadão Do Lageado,82487000,83231000,80329000,98085000,97926000
Chapecó,8893190000,9611568000,10516199000,11946493000,13693104000
Cocal Do Sul,706082000,657435000,683552000,703615000,885040000
Concórdia,3179422000,3352605000,3723579000,3909478000,4559276000
Cordilheira Alta,219814000,257705000,299679000,314090000,434564000
Coronel Freitas,256490000,270094000,283723000,331944000,381539000
Coronel Martins,48556000,50033000,47852000,53361000,57373000
Corupá,520313000,442321000,465249000,678099000,797518000
Correia Pinto,616434000,578590000,618919000,670691000,591259000
Criciúma,7149694000,7686780000,8219562000,8808931000,10063805000
Cunha Porã,519840000,535671000,596679000,702506000,927504000
Cunhataí,45987000,51369000,51914000,58478000,66618000
Curitibanos,1495894000,1425830000,1494517000,1603819000,1875114000
Descanso,228896000,217153000,226098000,265931000,298972000
Dionísio Cerqueira,400533000,395626000,414716000,494130000,636238000
Dona Emma,101244000,114649000,116469000,135636000,165716000
Doutor Pedrinho,112866000,114093000,118661000,131267000,175696000
Entre Rios,47077000,48004000,50587000,54575000,61375000
Ermo,85982000,84045000,93400000,120352000,176541000
Erval Velho,140484000,140137000,136962000,152013000,183128000
Faxinal Dos Guedes,434704000,440828000,470924000,578654000,758314000
Flor Do Sertão,39866000,40711000,49084000,54802000,64273000
Florianópolis,19516694000,21059944000,21966053000,21300109000,23555034000
Formosa Do Sul,49744000,55373000,56822000,60837000,78629000
Forquilhinha,813485000,851172000,897888000,978278000,1224362000
Fraiburgo,907570000,925962000,977385000,1150973000,1273454000
Frei Rogério,67307000,49378000,72671000,71940000,102093000
Galvão,66674000,75586000,76468000,95597000,99952000
Garopaba,534237000,584870000,616471000,684707000,773131000
Garuva,912747000,1071702000,1098515000,1388594000,2033119000
Gaspar,2824158000,2978775000,3186559000,3343822000,4156791000
Governador Celso Ramos,296409000,316570000,352430000,378449000,449622000
Grão Pará,227778000,218916000,248728000,263423000,329139000
Gravatal,224293000,240845000,264781000,293883000,387231000
Guabiruba,902724000,977978000,1001396000,1015605000,1262670000
Guaraciaba,287359000,346834000,347379000,397472000,454591000
Guaramirim,1541865000,1696751000,1957533000,2012961000,2514108000
Guarujá Do Sul,150699000,154033000,166755000,180031000,202542000
Guatambú,244350000,226387000,253792000,293594000,354963000
Herval D'Oeste,430260000,476489000,481991000,540370000,623924000
Ibiam,47326000,53466000,52596000,62636000,75603000
Ibicaré,96940000,99619000,113078000,126349000,145406000
Ibirama,421610000,444052000,470948000,486334000,599101000
Içara,2102972000,2338643000,2556326000,2772970000,3521296000
Ilhota,683687000,709810000,724076000,882567000,1215153000
Imaruí,181532000,196353000,196004000,237242000,252788000
Imbituba,1548283000,1776654000,2019884000,2143434000,2502431000
Imbuia,123586000,178560000,174751000,212588000,260667000
Indaial,2500546000,2591007000,2976676000,3125768000,3675475000
Iomerê,127194000,124824000,162267000,185712000,227766000
Ipira,84447000,84700000,87808000,97830000,107120000
Iporã Do Oeste,256043000,254719000,293624000,326182000,381272000
Ipuaçu,223156000,223428000,253110000,277863000,321467000
Ipumirim,313269000,332379000,356165000,399021000,465687000
Iraceminha,95684000,98290000,99225000,112008000,133794000
Irani,210934000,238548000,242313000,269414000,282643000
Irati,34946000,37216000,38884000,46516000,56613000
Irineópolis,299113000,347743000,334990000,389536000,458947000
Itá,240150000,265191000,307917000,372979000,404686000
Itaiópolis,704122000,749735000,772860000,855812000,1047601000
Itajaí,21932201000,25490826000,28209752000,33007673000,47754802000
Itapema,1698461000,1872396000,2142304000,2407139000,2888726000
Itapiranga,753937000,774243000,832867000,945845000,1064726000
Itapoá,714775000,793242000,918133000,1253295000,1688632000
Ituporanga,831857000,934356000,967472000,1109393000,1399577000
Jaborá,141481000,126936000,139982000,161991000,181338000
Jacinto Machado,322630000,331800000,377249000,454732000,529737000
Jaguaruna,473335000,477358000,582215000,813421000,851847000
Jaraguá Do Sul,8523055000,8991686000,9806864000,9979359000,12052185000
Jardinópolis,37699000,39826000,51409000,59401000,67316000
Joaçaba,1577136000,1705105000,1807617000,1952942000,2380992000
Joinville,27388124000,30795490000,34527324000,36383628000,45069864000
José Boiteux,108764000,102352000,106900000,117401000,130462000
Jupiá,52781000,56792000,54048000,69677000,88232000
Lacerdópolis,93047000,92358000,105167000,107396000,137752000
Lages,5075586000,5105747000,5568825000,5879523000,6576476000
Laguna,841742000,870879000,891636000,962832000,1093598000
Lajeado Grande,39369000,41366000,50328000,61036000,59651000
Laurentino,257563000,268147000,289932000,336694000,444761000
Lauro Muller,355274000,374041000,386641000,412406000,418742000
Lebon Régis,223593000,247027000,319477000,365857000,416768000
Leoberto Leal,93076000,94030000,97972000,119867000,119777000
Lindóia Do Sul,109275000,107274000,115381000,139181000,151906000
Lontras,314283000,322213000,357574000,394869000,466155000
Luiz Alves,575787000,581046000,495953000,592808000,792697000
Luzerna,158733000,170745000,191227000,238273000,292962000
Macieira,43147000,48707000,53710000,54914000,59143000
Mafra,1660261000,1961482000,1975860000,2106253000,2489951000
Major Gercino,46447000,49335000,52368000,53891000,62134000
Major Vieira,185874000,211006000,210544000,241256000,300299000
Maracajá,181051000,197526000,199859000,221998000,273037000
Maravilha,1055389000,1289937000,1401623000,1611745000,1793997000
Marema,60465000,57692000,64459000,76090000,98097000
Massaranduba,579640000,548053000,559154000,649759000,751784000
Matos Costa,48419000,51803000,51444000,51628000,62584000
Meleiro,242069000,239759000,267458000,272753000,340346000
Mirim Doce,55134000,52967000,58453000,74823000,89435000
Modelo,108068000,115129000,118964000,133915000,170286000
Mondaí,581366000,656860000,713685000,873533000,1089117000
Monte Carlo,137059000,158890000,175416000,194816000,233394000
Monte Castelo,158882000,176214000,174405000,201319000,237410000
Morro Da Fumaça,635539000,642865000,665754000,708213000,922021000
Morro Grande,133371000,104842000,101594000,114930000,145118000
Navegantes,4108477000,3823171000,4684221000,4964793000,6142276000
Nova Erechim,154516000,164029000,184257000,215854000,247026000
Nova Itaberaba,104949000,107253000,134306000,145038000,189424000
Nova Trento,523649000,591571000,631176000,626106000,691466000
