São Raimundo Das Mangabeiras,60,78,72,159,116
São Raimundo Do Doca Bezerra,10,10,14,50,12
São Roberto,8,10,8,56,20
São Vicente Ferrer,37,31,39,156,61
Satubinha,15,19,17,51,20
Senador Alexandre Costa,16,29,31,94,35
Senador La Rocque,40,40,52,115,85
Serrano Do Maranhão,9,15,10,68,18
Sítio Novo,34,44,48,110,77
Sucupira Do Norte,19,16,40,92,45
Sucupira Do Riachão,10,8,12,61,17
Tasso Fragoso,23,50,76,112,73
Timbiras,58,52,55,190,83
Timon,823,936,1171,1671,1558
Trizidela Do Vale,60,95,84,177,127
Tufilândia,10,8,14,54,14
Tuntum,71,69,79,160,139
Turiaçu,52,67,83,223,125
Turilândia,48,34,51,160,59
Tutóia,135,132,179,407,233
Urbano Santos,97,125,105,187,128
Vargem Grande,80,108,107,261,155
Viana,132,129,137,355,191
Vila Nova Dos Martírios,44,39,50,118,56
Vitória Do Mearim,107,100,121,349,155
Vitorino Freire,66,85,90,227,150
Zé Doca,112,129,148,303,185
Acauã,14,23,31,47,45
Agricolândia,26,22,14,40,33
Água Branca,149,154,184,238,252
Alagoinha Do Piauí,17,10,10,47,29
Alegrete Do Piauí,14,21,18,65,31
Alto Longá,30,36,51,75,63
Altos,202,222,289,406,466
Alvorada Do Gurguéia,22,26,19,67,43
Amarante,43,74,67,167,88
Angical Do Piauí,29,27,38,101,69
Anísio De Abreu,22,56,47,61,53
Antônio Almeida,21,16,11,46,31
Aroazes,23,22,42,70,53
Aroeiras Do Itaim,7,6,3,16,8
Arraial,22,13,6,50,15
Assunção Do Piauí,29,28,20,47,62
Avelino Lopes,30,34,37,83,52
Baixa Grande Do Ribeiro,93,79,96,175,193
Barra D'Alcântara,22,9,11,42,15
Barras,159,183,192,301,301
Barreiras Do Piauí,8,6,8,44,26
Barro Duro,25,22,21,74,21
Batalha,88,73,96,171,126
Bela Vista Do Piauí,13,10,22,42,25
Belém Do Piauí,11,18,11,40,27
Beneditinos,42,42,46,70,47
Bertolínia,23,21,28,79,40
Betânia Do Piauí,15,20,15,63,24
Boa Hora,17,17,26,65,28
Bocaina,10,5,9,36,14
Bom Jesus,245,309,280,407,438
Bom Princípio Do Piauí,12,16,13,81,66
Bonfim Do Piauí,15,11,12,32,17
Boqueirão Do Piauí,22,16,22,81,28
Brasileira,37,23,58,74,60
Brejo Do Piauí,10,9,7,36,13
Buriti Dos Lopes,60,55,81,140,93
Buriti Dos Montes,30,21,18,63,40
Cabeceiras Do Piauí,18,22,29,80,35
Cajazeiras Do Piauí,10,11,4,41,20
Cajueiro Da Praia,51,64,67,137,135
Caldeirão Grande Do Piauí,12,5,8,43,22
Campinas Do Piauí,10,8,10,39,22
Campo Alegre Do Fidalgo,14,13,28,49,26
Campo Grande Do Piauí,23,22,22,55,24
Campo Largo Do Piauí,7,14,8,56,31
Campo Maior,343,432,422,594,583
Canavieira,9,4,9,62,17
Canto Do Buriti,108,114,90,178,117
Capitão De Campos,75,56,44,97,61
Capitão Gervásio Oliveira,12,8,8,30,18
Caracol,24,46,39,89,46
Caraúbas Do Piauí,19,13,12,38,56
Caridade Do Piauí,19,32,35,47,28
Castelo Do Piauí,91,101,113,175,157
Caxingó,19,10,22,40,27
Cocal,147,118,121,211,129
Cocal De Telha,13,14,9,43,33
Cocal Dos Alves,29,21,14,51,44
Coivaras,10,7,8,49,19
Colônia Do Gurguéia,31,39,44,92,72
Colônia Do Piauí,13,23,22,59,31
Conceição Do Canindé,32,18,20,43,27
Coronel José Dias,6,10,40,39,19
Corrente,266,172,184,269,275
Cristalândia Do Piauí,14,21,25,56,39
Cristino Castro,41,46,55,108,93
Curimatá,64,41,68,116,101
Currais,8,7,9,76,24
